system_id,record_type,relative_path,exists,size_bytes,sha256,checksum_status
Gs_8W8Q,api_gateways,data/api/v1/systems/Gs_8W8Q/gateways.json,yes,8067,fcd4166634d415bb32770e5f331f023926d00374d3250dc3e8de219b447533f7,computed
Gs_8W8Q,api_gprotein,data/api/v1/systems/Gs_8W8Q/gprotein_metrics.json,yes,194602,749f7597f5e77f6d0ced2c07be200efdb783ae62f5f7f36a1b3aa8264f465c8b,computed
Gs_8W8Q,api_pocketgrid,data/api/v1/systems/Gs_8W8Q/pocketgrid.npz,yes,12211710,,pending_binary_or_large_file
Gs_8W8Q,chain_roles,data/chain_roles/Gs_8W8Q_chain_roles.json,yes,384,dedccfb8207cb1efd6d94a03f284df0922d71d3fbdd6caf0a74a2d9bf6a32457,computed
Gs_8W8Q,contacts,data/contacts/Gs_8W8Q_contacts.parquet,yes,60366,,pending_binary_or_large_file
Gs_8WJX,viz_structure,data/viz/Gs_8WJX/structure.pdb,yes,1346706,,pending_binary_or_large_file
Gs_8WJX,viz_trajectory,data/viz/Gs_8WJX/traj.xtc,yes,158668868,,pending_binary_or_large_file
Gs_8WJX,api_index,data/api/v1/systems/Gs_8WJX/index.json,yes,1310,dab55c96e910ea830501130852bd67fcd05de0a57714c2c1cfe5de3fd2fcb8a8,computed
Gs_8WJX,api_pockets,data/api/v1/systems/Gs_8WJX/pockets.json,yes,5761,1bd2ed61f88cafebac604ab2ef1939ff78f8afb91445aafcaec3ce2674da0c88,computed
Gs_8WJX,api_pockets_gpcrdb,data/api/v1/systems/Gs_8WJX/pockets_gpcrdb.json,yes,9122,5760748e342d57a343a2085d58a09ea6398ee0b63ffeea5733657bfe1b74ba1b,computed
Gs_8WJX,api_gateways,data/api/v1/systems/Gs_8WJX/gateways.json,yes,8057,5f0d3a2374a380a71596ca9a910073191b89ed73eca3b102ff5a3927323d2ccd,computed
Gs_8WJX,api_gprotein,data/api/v1/systems/Gs_8WJX/gprotein_metrics.json,yes,185659,6431f037aa56d7c44b315c682c3870fd2fc605de4717ef012da4dd8a8dda1a01,computed
Gs_8WJX,api_pocketgrid,data/api/v1/systems/Gs_8WJX/pocketgrid.npz,yes,6846398,,pending_binary_or_large_file
Gs_8WJX,chain_roles,data/chain_roles/Gs_8WJX_chain_roles.json,yes,382,1d6c4b115b1405093662c7e067a9f3edda09950d0107267fc223857c40bd1e53,computed
Gs_8WJX,contacts,data/contacts/Gs_8WJX_contacts.parquet,yes,47005,,pending_binary_or_large_file
Gs_8X79,viz_structure,data/viz/Gs_8X79/structure.pdb,yes,1396359,,pending_binary_or_large_file
Gs_8X79,viz_trajectory,data/viz/Gs_8X79/traj.xtc,yes,163921100,,pending_binary_or_large_file
Gs_8X79,api_index,data/api/v1/systems/Gs_8X79/index.json,yes,1392,6b365559c2ab198d57635e094a586089003b57fc3b104a8dd70327b55d26f624,computed
